source,bbvar,nblocks,flux_mean,flux_std,flux_min,flux_max,nearby_count,nfft_peaks
J1255.0-7140,163.1564237822513,6,2.5,1.707825127659933,0.0,5.0,5,2
J1255.6-1412,21.25243273954402,2,0.5,0.5,0.0,1.0,5,2
J1256.0-5650,77.33830974035709,4,1.5,1.118033988749895,0.0,3.0,5,2
J1256.1-0547,129001.33879189719,195,97.0,56.290911048469155,0.0,194.0,5,3
J1256.1-5919,4.459172487258911e-06,1,0.0,0.0,0.0,0.0,5,2
J1256.1-6828,64.97810724515148,5,2.0,1.4142135623730951,0.0,4.0,5,2
J1256.2-0623,41587.97386912881,105,52.0,30.309514457784815,0.0,104.0,5,3
J1256.2-1146,28.13365053262544,3,1.0,0.816496580927726,0.0,2.0,5,2
J1257.0+5330,116.8115555040838,4,1.5,1.118033988749895,0.0,3.0,5,2
J1257.0-6338,81.84447250846551,5,2.0,1.4142135623730951,0.0,4.0,5,2
J1257.1+2632,0.8890851442001804,2,0.5,0.5,0.0,1.0,5,2
J1257.2+3646,91.55172227743186,7,3.0,2.0,0.0,6.0,5,2
J1257.6-6004,0.0007671625608054455,1,0.0,0.0,0.0,0.0,5,2
J1257.7+2412,0.13088897425668478,2,0.5,0.5,0.0,1.0,5,2
J1257.9+3228,3462.6108594480634,44,21.5,12.698425099200294,0.0,43.0,5,3
J1257.9+6552,0.00013738980578636983,1,0.0,0.0,0.0,0.0,5,2
J1258.0+5021,169.0949550291234,5,2.0,1.4142135623730951,0.0,4.0,5,2
J1258.1+6121,0.00014118431136012077,1,0.0,0.0,0.0,0.0,5,2
J1258.5+2753,0.0006567578311660327,1,0.0,0.0,0.0,0.0,5,2
J1258.5-3405,3.677327185869217e-06,1,0.0,0.0,0.0,0.0,5,2
J1258.6-0449,31349.31399381379,97,48.0,28.0,0.0,96.0,5,2
J1258.7-1759,621.4972028859311,19,9.0,5.477225575051661,0.0,18.0,5,2
J1258.7-8147,0.0036005405709147453,1,0.0,0.0,0.0,0.0,5,3
J1258.8-2219,1254.61802957162,19,9.0,5.477225575051661,0.0,18.0,5,3
J1259.0+5142,0.001108036460891526,1,0.0,0.0,0.0,0.0,5,2
J1259.1-2310,313.5850408715339,10,4.5,2.8722813232690143,0.0,9.0,5,2
J1259.1-3541,0.0004921643994748592,1,0.0,0.0,0.0,0.0,5,2
J1259.3+0051,140.5183417637444,6,2.5,1.707825127659933,0.0,5.0,5,3
J1259.3+2332,-0.0,1,0.0,0.0,0.0,0.0,5,2
J1259.4-0618,35140.211090392644,102,50.5,29.44344862047696,0.0,101.0,5,3
J1259.8-3222,450.1805512961904,15,7.0,4.320493798938574,0.0,14.0,5,2
J1259.8-3748,26.600877466320526,3,1.0,0.816496580927726,0.0,2.0,5,2
J1300.3+1416,135.89174436596204,6,2.5,1.707825127659933,0.0,5.0,5,2
J1300.5+5354,19.738002201981573,3,1.0,0.816496580927726,0.0,2.0,5,2
J1300.5-5722,62.518397908392444,4,1.5,1.118033988749895,0.0,3.0,5,2
J1301.5+0835,0.0034081623889505863,1,0.0,0.0,0.0,0.0,5,2
J1301.5+3336,3544.4756750810748,31,15.0,8.94427190999916,0.0,30.0,5,2
J1301.6+4057,0.0006910702213644981,1,0.0,0.0,0.0,0.0,5,2
J1301.6+4414,3.374569587322185e-05,1,0.0,0.0,0.0,0.0,5,2
J1302.0+5519,33.91824910612104,3,1.0,0.816496580927726,0.0,2.0,5,2
J1302.3-6235,134.26639160187256,9,4.0,2.581988897471611,0.0,8.0,5,2
J1302.4-3258,33.553286323327484,3,1.0,0.816496580927726,0.0,2.0,5,2
J1302.7+6904,67.80018832899805,3,1.0,0.816496580927726,0.0,2.0,5,2
J1302.8+5747,59.04036411178649,5,2.0,1.4142135623730951,0.0,4.0,5,2
J1302.8-4714,-0.0,1,0.0,0.0,0.0,0.0,5,2
J1302.9-6350,3447.5623493315925,32,15.5,9.233092656309694,0.0,31.0,5,3
J1303.0+2434,823.2361962701889,20,9.5,5.766281297335398,0.0,19.0,5,3
J1303.1+4745,284.08888351788966,6,2.5,1.707825127659933,0.0,5.0,5,2
J1303.4-6542,0.0009746941314006108,1,0.0,0.0,0.0,0.0,5,2
J1303.6-4621,52.63632973821535,3,1.0,0.816496580927726,0.0,2.0,5,2
J1303.9-5537,566.6816708189518,11,5.0,3.1622776601683795,0.0,10.0,5,3
J1304.2-2412,39.24705365300156,3,1.0,0.816496580927726,0.0,2.0,5,2
J1304.3-4353,163.11412713301252,5,2.0,1.4142135623730951,0.0,4.0,5,2
J1304.4+1201,7.305538213594673,2,0.5,0.5,0.0,1.0,5,2
J1304.4+3710,53.25023621682499,4,1.5,1.118033988749895,0.0,3.0,5,2
J1304.5+0540,25.79574723270359,3,1.0,0.816496580927726,0.0,2.0,5,2
J1304.8-2106,71.73644043879403,3,1.0,0.816496580927726,0.0,2.0,5,2
J1304.9+7854,42.784673602461964,4,1.5,1.118033988749895,0.0,3.0,5,2
J1305.2-5859,0.000199502996110823,1,0.0,0.0,0.0,0.0,5,2
J1305.4-4927,13.920991518244506,2,0.5,0.5,0.0,1.0,5,2
J1305.7+3859,0.0009576355193985364,1,0.0,0.0,0.0,0.0,5,2
J1305.7-6241,602.0505577454312,16,7.5,4.6097722286464435,0.0,15.0,5,2
J1305.8+8027,0.0014715159231855068,1,0.0,0.0,0.0,0.0,5,2
J1306.0+5122,109.917653580729,7,3.0,2.0,0.0,6.0,5,2
J1306.3+1114,26.115613036530704,2,0.5,0.5,0.0,1.0,5,2
J1306.3-6043,0.002379894256591797,1,0.0,0.0,0.0,0.0,5,2
J1306.7-2149,-0.0,1,0.0,0.0,0.0,0.0,5,2
J1306.7-3539,0.00010058473708340898,1,0.0,0.0,0.0,0.0,5,2
J1306.8-4035,-0.0,1,0.0,0.0,0.0,0.0,5,2
